Pathological_type,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal
hsa-miR-500a(1),-14.36475342,-13.08640473,-13.11788997,-14.40800661,-13.34210468,-13.68554059,-13.2373291,-12.89293486,-14.01509192,-11.79112221,-11.8531989,-11.61989744,-12.95710809,-11.53457855,-12.28287305,-12.9659805,-12.75523582,-12.86821663,-12.55003427,-13.53753467,-12.42498725,-11.79976304,-13.09265461,-12.18553803,-12.87292737,-12.82483291,-12.22644078,-12.19407108,-11.00189591,-12.40854773,-11.34095907,-12.62159208
hsa-miR-210(1),-13.21224821,-12.61965681,-12.1857867,-14.34961482,-13.58461168,-12.8273053,-12.42981894,-12.07994444,-11.69347438,-12.27229331,-11.37410487,-10.74789349,-12.2037502,-10.47828353,-11.63456521,-10.88285284,-11.01272918,-12.1300736,-12.26620422,-10.79763264,-10.73423145,-10.24722494,-10.59734445,-10.82640386,-11.4602307,-10.53327379,-11.11147579,-10.20335212,-9.730678544,-8.32985302,-8.755996564,-10.71497548
hsa-miR-670(1),-29.89735285,-17.1852558,-18.55861647,-17.86117924,-17.91008884,-29.89735285,-17.57542476,-19.49860916,-29.89735285,-17.47476242,-13.92257979,-12.60996512,-18.08758473,-12.50780554,-13.77979091,-11.79164892,-29.89735285,-14.00794396,-13.62596278,-13.35262986,-17.98671012,-11.70665525,-13.41744631,-12.31238302,-14.96809445,-12.00039967,-12.21207707,-13.19407108,-12.26145764,-12.96328194,-12.7332807,-12.07129477
hsa-miR-324-5p(1),-12.6272857,-12.05172192,-12.95102909,-11.8038476,-11.56795066,-15.09867856,-13.12221844,-11.67124646,-12.60036497,-11.55036741,-9.887499639,-9.309697098,-11.2037536,-9.969388307,-10.24585614,-10.80390176,-11.30592547,-11.55298759,-11.20230132,-11.73440103,-9.824458752,-10.70665525,-10.78339963,-10.07370884,-10.13971055,-10.75157988,-10.06909238,-11.63398736,-10.00189739,-11.86006867,-9.875295299,-10.2727894
hsa-miR-342(1),-12.77928373,-11.30383407,-12.13456208,-12.98399591,-10.50557644,-14.5154044,-11.64346845,-11.13585032,-11.69347438,-10.77546273,-9.313187656,-7.293705231,-10.95711383,-9.159724247,-8.903744107,-8.029341199,-11.3263891,-11.22056589,-9.77746819,-10.22652547,-9.681161183,-9.349103829,-9.366876979,-9.059999794,-10.16529642,-10.51497369,-8.944857578,-9.678576794,-10.01938429,-9.352734554,-10.20971404,-9.340517536
hsa-miR-194(2),-10.84767444,-7.333339466,-9.172093951,-9.610483796,-6.928660224,-12.87793587,-9.67832972,-7.583782789,-8.985653666,-6.717705828,-5.499511912,-4.954753115,-9.876942547,-5.826477781,-5.200013157,-4.833480955,-7.150750378,-6.806248096,-6.751062004,-6.065668018,-5.916125465,-3.996710346,-5.588745795,-3.658768262,-5.055545475,-3.884086265,-5.109552996,-6.027492752,-4.6314024,-4.924629809,-4.897226108,-4.180114446
hsa-miR-103(2),-9.28463371,-7.748187822,-8.986866024,-8.091019182,-8.114828481,-10.57676602,-8.847404623,-7.529227971,-8.058569792,-7.254922541,-6.664398864,-5.278227811,-10.03654624,-5.943024112,-6.870432332,-6.157598198,-8.283244696,-6.854371143,-7.36296281,-7.284997034,-5.822227437,-6.149536745,-6.577772236,-5.420800199,-5.780275049,-6.735448292,-5.756934248,-6.941607712,-5.921379935,-6.319848305,-7.318295235,-6.357727805
hsa-miR-1247(1),-13.14185236,-13.66103963,-12.50916735,-16.90476851,-18.30863822,-14.22559067,-12.61038907,-11.09407309,-9.534273643,-16.07358757,-18.0285303,-16.28771238,-14.62778782,-16.7552458,-19.74253474,-19.41555342,-16.4590808,-19.65656152,-16.19821423,-17.92078873,-16.42060665,-29.89735285,-17.51472883,-16.37085361,-19.14079653,-14.60244497,-18.24450788,-18.47739268,-16.96255626,-16.01509192,-29.89735285,-17.07757292
hsa-miR-107(1),-12.5954191,-11.46408936,-12.2692776,-12.26677999,-10.91670282,-13.36323239,-12.52089675,-12.13780921,-11.37771276,-10.27051556,-8.752803517,-8.456899823,-13.04199768,-8.350392001,-9.089277161,-9.164276278,-11.2268522,-11.024092,-10.91878483,-10.97071518,-10.68095748,-9.484392336,-9.420197391,-7.965036081,-9.875754712,-9.646013766,-8.283153011,-10.35706208,-8.553919873,-9.187341027,-10.79499008,-9.14335433
hsa-miR-200a(1),-8.491146291,-6.828428809,-7.810027929,-8.151305229,-6.011525521,-9.953970944,-9.83705273,-7.252208553,-9.450615834,-6.361836236,-6.395038307,-6.014978846,-10.68979034,-6.822256334,-6.021045569,-5.172966301,-6.547654934,-6.510295952,-5.882326828,-6.627575256,-4.961730827,-5.259572531,-5.203306143,-4.41184949,-4.768716401,-4.731539275,-5.716166847,-6.18499935,-5.109711047,-5.010863365,-6.616932506,-4.959601403
hsa-miR-653-3p(1),-14.36475342,-16.38313194,-15.78589111,-16.42060665,-10.84121793,-29.89735285,-17.99046226,-17.08357166,-29.89735285,-13.88936201,-9.873809645,-15.90476851,-14.76565663,-9.907858565,-9.645695933,-11.63237429,-11.57302725,-10.63979236,-9.702071971,-11.71718144,-11.57366913,-12.12169114,-15.51202968,-10.02771985,-9.999519213,-11.00039967,-9.610051927,-11.97168252,-10.36570868,-9.755229588,-12.14831492,-9.548465885
hsa-miR-10b(1),-5.887165143,-5.903063043,-6.539472559,-7.484178958,-5.140414738,-8.038730945,-7.770700049,-7.838764528,-8.634578968,-6.128127492,-7.954412812,-9.01466727,-9.349993237,-9.318528728,-9.820517689,-10.75770908,-8.599246644,-6.778344316,-5.228835877,-9.787968521,-10.4363591,-10.89929963,-10.98724011,-11.03029135,-12.07901409,-11.1060087,-9.006302697,-8.382761589,-7.002621668,-9.596208364,-10.56335242,-10.47979904
hsa-let-7d(1),-11.62128299,-9.454975249,-10.45123275,-10.98568292,-9.94106604,-11.59253365,-9.89629108,-9.568367918,-9.072886607,-9.938100823,-7.634141833,-7.579432977,-10.87938094,-8.2346332,-7.721264947,-7.928409092,-10.19592962,-10.0179087,-9.406932832,-9.006153584,-9.476193054,-8.512884214,-8.373334902,-8.235529534,-8.427215331,-8.243000028,-8.130570822,-8.59454271,-8.210397162,-8.153146417,-8.945373827,-8.33768776
hsa-miR-200b(1),-9.107909157,-6.825557623,-8.258031578,-9.356542771,-6.328334939,-9.97793083,-10.18004794,-7.886487762,-10.3335775,-6.607736641,-6.054658101,-5.70741808,-10.05942932,-6.398585924,-5.755435011,-5.22009614,-7.414013096,-6.641355571,-6.575887811,-7.358357854,-6.451447372,-5.701031165,-6.371666697,-5.397830338,-6.055116469,-5.625088291,-5.398706852,-6.83044495,-6.203259528,-5.644335749,-6.998566789,-5.494101593
hsa-miR-129-2-3p(1),-16.53925115,-13.63511116,-17.01700405,-14.44292503,-15.7221152,-14.87845723,-12.83022315,-15.65358382,-14.59886064,-16.61252875,-11.56392231,-9.918692663,-11.67700287,-10.33507502,-11.51568317,-10.00753996,-13.20775065,-11.93106146,-11.82486431,-11.95885869,-16.13455559,-10.15206752,-13.84198568,-13.95200047,-15.12937535,-11.23986692,-9.965631367,-13.27001847,-10.0992624,-11.83597111,-11.56335024,-12.7281912
hsa-miR-148b(1),-11.66380807,-10.81982256,-11.08104728,-10.40175933,-9.841145143,-12.57676382,-10.63659638,-10.41269318,-10.66962646,-9.142706708,-8.838432969,-8.635291281,-11.81960874,-9.089723572,-8.639573708,-8.575582166,-10.05053111,-9.465936867,-8.435685068,-10.00736771,-8.841470709,-7.585951259,-8.223690523,-8.403149134,-7.883648872,-7.931526656,-8.789157684,-10.9598411,-9.788222348,-9.561764048,-8.767491934,-10.16477963
hsa-miR-489(1),-15.53239748,-17.31098216,-17.8238807,-18.48796192,-13.92931612,-29.89735285,-29.89735285,-17.91364666,-29.89735285,-15.34660607,-11.17967308,-17.4333177,-29.89735285,-11.11876554,-10.98082898,-13.13040991,-29.89735285,-13.26444283,-12.37069315,-12.83960434,-12.37242095,-11.53672864,-19.50933557,-10.86968169,-10.32352633,-11.29085004,-10.47983612,-15.15546458,-12.19371284,-10.71299565,-11.0328372,-10.44574328
hsa-miR-653-5p(1),-11.97958454,-14.48531234,-13.85048464,-14.98203364,-11.09134455,-29.89735285,-17.16179683,-14.34060733,-14.59886064,-12.74919408,-10.66471411,-18.02083591,-13.99846809,-10.44328454,-10.31003131,-12.2609194,-9.591485928,-8.548824593,-7.991222668,-10.68096222,-9.317245213,-10.06280002,-15.23112885,-9.6408251,-9.851421258,-10.35450802,-10.48205053,-12.45710819,-9.22888419,-8.25335006,-9.645813812,-9.790361881
hsa-miR-99b(1),-9.511806381,-8.684482478,-8.727234633,-9.534344247,-8.23108897,-9.839799987,-8.13524905,-7.624990747,-8.234041021,-7.849015324,-7.252225708,-6.968486637,-9.020306175,-7.693776329,-7.722236753,-7.931916253,-8.2658476,-8.22895431,-7.531235049,-7.368183748,-7.309806737,-6.978735246,-7.670698126,-7.038279554,-7.798469394,-7.016132073,-7.472486908,-7.732122583,-7.012437274,-6.678987395,-6.755996564,-7.534613324
hsa-miR-551b(1),-29.89735285,-17.44872029,-19.14916,-21.94898562,-12.7661691,-29.89735285,-16.51202968,-20.08196956,-29.89735285,-29.89735285,-14.15283433,-17.14497221,-15.27621674,-12.42013216,-14.19010158,-15.24787212,-29.89735285,-14.35262986,-13.99846809,-16.39551567,-14.91810631,-13.7066022,-16.26481198,-12.93194056,-15.61687204,-14.82304411,-12.90716023,-14.15809964,-12.65811795,-13.64062817,-29.89735285,-11.650654
hsa-miR-24(2),-9.038318618,-7.680777492,-7.384759217,-6.854215401,-8.843836574,-10.40916555,-6.995995195,-7.160450757,-6.726919179,-8.824242282,-6.187060132,-5.566213531,-8.606615116,-5.933203358,-6.074824131,-6.721581298,-7.468408236,-7.292001751,-7.040369276,-6.120549977,-7.232359438,-5.808810285,-6.531812941,-5.748397052,-6.5818876,-6.164534971,-6.668072975,-6.832018079,-5.643073956,-6.055256723,-6.286193278,-6.577696856
hsa-miR-215(1),-12.46808507,-13.03130553,-12.94366792,-15.42060665,-12.62636409,-14.43651304,-15.66853416,-13.57577702,-13.14092684,-12.69805434,-12.86992196,-12.00999537,-13.66103963,-10.86902318,-9.970914964,-11.30291161,-10.73457309,-9.013941393,-11.26308065,-12.01035839,-10.5432843,-13.12169114,-11.84229289,-10.41024884,-11.79319436,-7.248973766,-10.64841306,-12.69812145,-8.700391798,-11.75252536,-7.443257677,-6.572845675
hsa-miR-708(1),-14.21183751,-14.00083123,-14.20364811,-17.36597139,-13.98671012,-16.68516048,-13.75964121,-13.89814557,-13.60065169,-14.30512943,-10.35604823,-11.55992259,-14.62778782,-9.202244382,-10.46609195,-11.92334166,-14.64987032,-14.10629174,-12.51809296,-10.92881543,-13.03715094,-10.38472812,-13.33463343,-10.02528524,-12.91570754,-11.29085004,-11.7556548,-11.73800871,-12.19371284,-14.56699614,-12.14831492,-11.37995258
hsa-miR-27b(1),-10.08296284,-7.435266516,-7.341559134,-6.183364816,-7.578692275,-10.76047686,-7.054901989,-7.290423811,-6.809200466,-7.561411647,-6.441979349,-6.196054642,-10.05572862,-6.534062786,-5.712321683,-5.902539446,-7.890570006,-7.556556569,-6.558965334,-5.722943559,-6.750821623,-5.02629623,-5.756312047,-5.092179879,-5.532394404,-5.508075157,-5.724524193,-6.350193547,-5.915116212,-5.599465218,-6.01046897,-5.95506262
hsa-miR-744(1),-11.57997557,-10.21481083,-12.28470749,-13.03688417,-11.24246514,-11.80264627,-11.84598989,-10.09123438,-11.0767999,-9.707059146,-8.867788596,-8.815599628,-10.7644666,-9.024255747,-9.852399826,-10.37473684,-10.93210968,-10.83190516,-11.07447398,-10.87054307,-10.1940001,-8.497202532,-9.976528994,-8.998662169,-10.16744837,-8.778613245,-9.540201448,-10.10878904,-8.795736178,-10.3335775,-8.900386375,-9.463130857
hsa-miR-532-3p(1),-12.83373658,-13.12554102,-13.93608405,-14.8741183,-13.12245,-15.36475342,-14.53239748,-12.67337003,-12.27843688,-13.54096966,-11.50907905,-11.32586683,-12.04200377,-11.68248831,-12.1163454,-12.77846246,-11.67431274,-14.30512943,-13.74768511,-12.88283105,-12.30185496,-11.38472812,-12.78000399,-10.84648389,-12.37816198,-12.432512,-11.39390364,-11.92488905,-11.05500865,-11.91241711,-10.92592157,-11.81013348
hsa-miR-23a(1),-12.5568942,-9.897110723,-9.702329154,-10.12461946,-10.08221195,-13.01286034,-9.294631338,-10.24788966,-8.022934644,-11.90525539,-7.975822776,-7.295339113,-10.28873345,-8.435634116,-7.608923532,-7.977200295,-9.939971614,-10.97447524,-9.224414812,-7.607453013,-10.03054181,-8.706655848,-7.779901886,-6.94493863,-8.00103856,-8.019084113,-7.778870501,-8.88515186,-8.708642683,-8.231476995,-9.209714898,-8.493602241
hsa-miR-191(1),-10.79270803,-9.222023754,-10.27619706,-10.79495932,-9.124214452,-12.32773455,-9.899043402,-9.647607453,-9.534273643,-9.40122954,-7.647890696,-6.199908212,-9.109115644,-7.78857861,-7.488166531,-7.487999212,-10.06335408,-9.914616855,-9.179253996,-8.995086685,-8.867358663,-8.824012768,-8.942964823,-7.332626759,-9.233571535,-8.296048595,-7.389629821,-11.08715781,-8.058770584,-8.350017715,-9.032836446,-8.535338959
hsa-miR-504(1),-14.94971592,-14.48531234,-13.95658046,-15.86117924,-14.69125424,-14.10121182,-15.20910254,-14.26197482,-12.43043997,-17.23335009,-12.15391872,-11.87980496,-14.76565663,-11.49700289,-13.26996147,-14.54959309,-14.13455559,-13.01681272,-12.40013252,-13.01486503,-11.77237334,-10.89929963,-14.17401188,-10.94196687,-12.39824662,-12.32233072,-13.38776339,-11.6465872,-10.69511183,-12.50134185,-11.92592157,-12.25037233
hsa-miR-224(1),-15.94971592,-14.37697972,-14.33761729,-16.25349666,-16.16603382,-29.89735285,-12.94196403,-15.32868416,-13.60065169,-16.84580402,-12.87147794,-14.41429288,-14.62778782,-11.04739194,-11.49540256,-15.47213695,-12.75523582,-12.6775604,-10.00917892,-12.50390374,-13.88717445,-12.70666007,-14.5154044,-12.25943321,-11.35834933,-13.08786103,-11.89284707,-12.32973094,-10.96190001,-9.59064585,-10.82638552,-10.74376371
hsa-miR-3065-5p(1),-14.21183751,-13.00784889,-15.03917754,-14.83986874,-11.45154586,-17.68668151,-16.25349666,-15.69125424,-15.60244497,-14.36475342,-12.02728319,-11.67062552,-16.49860916,-11.28231958,-12.36199393,-11.56587166,-13.86979237,-13.21361803,-13.09561924,-11.5251467,-12.65301689,-10.89929963,-12.41668886,-10.24971701,-11.88467922,-12.38742325,-11.82425732,-13.23154507,-11.36198634,-11.74954673,-14.73386041,-11.67177824
hsa-miR-99a(1),-8.603436157,-6.729296258,-6.924984239,-7.142129069,-8.781254516,-8.993546013,-6.945769316,-6.344083676,-5.271688374,-9.240367689,-8.439629816,-8.480681585,-9.889178674,-7.826079053,-8.339409165,-9.175113156,-9.53383084,-9.39343494,-8.938871646,-8.368964086,-9.395021188,-9.752459402,-8.035316023,-8.396199868,-8.738563831,-7.986149241,-8.179671411,-8.51152994,-7.862222527,-7.926071033,-8.504457947,-8.497368314
hsa-miR-100(1),-8.709214993,-7.948756412,-7.25541556,-7.955261863,-7.954348759,-9.203489903,-7.26766273,-7.512960103,-6.804323671,-9.3879016,-8.207652126,-7.964525001,-9.674884566,-8.57728943,-8.715955489,-9.536337571,-8.602362545,-8.484228554,-7.929240159,-8.589017157,-9.470906881,-10.0062159,-9.03090173,-8.715894219,-9.485745668,-8.899026183,-8.163766477,-8.118081157,-8.313990909,-8.160526916,-8.485349048,-8.796149134
hsa-miR-200c(1),-9.341880911,-7.464431513,-9.164341671,-10.00646815,-6.86796839,-11.36336161,-10.46547375,-8.342659558,-11.24281122,-7.139403185,-6.261867647,-5.370873256,-10.20785473,-6.371577938,-6.329245155,-6.069974482,-8.593034958,-7.869772799,-7.479060388,-7.01397048,-7.27424141,-6.194903028,-7.362380362,-7.787305465,-7.351909679,-6.946266143,-6.058269714,-7.742229211,-7.742730642,-6.764227108,-7.862911864,-7.391076027
hsa-miR-148a(1),-10.81307387,-8.160260686,-8.165115856,-8.148389011,-7.434315236,-12.14612918,-7.471521785,-9.126260795,-8.247216613,-7.168165087,-10.82181625,-11.01186202,-12.69408133,-10.45195602,-9.164421141,-10.52830298,-9.724352872,-10.05607261,-7.309777667,-11.15854148,-10.54757922,-10.37251658,-9.758161261,-12.52357858,-9.580571946,-8.446171933,-9.752883802,-9.654518344,-10.26667157,-10.89578797,-8.349571994,-9.438031308
hsa-miR-411(1),-14.21183751,-13.06895601,-14.27621674,-11.51202546,-15.51202968,-29.89735285,-12.68540754,-13.79816944,-12.14093335,-17.43076652,-16.00556915,-14.93156857,-29.89735285,-15.97737226,-14.59528518,-12.91003332,-13.99610882,-13.83564415,-14.95887592,-11.60660499,-16.81886844,-29.89735285,-14.86979237,-15.88717445,-16.4333177,-14.23947619,-15.74570202,-15.4787096,-14.78997229,-14.75365078,-29.89735285,-14.82723191
hsa-miR-425(1),-12.77928373,-12.57464128,-12.58354866,-14.16868828,-11.62086037,-14.5154044,-12.00885336,-12.58291122,-11.0767999,-12.68140282,-10.67281882,-9.978608969,-11.331507,-11.02134859,-11.09285626,-11.32961954,-13.54959309,-13.52217763,-11.94198674,-11.38453525,-11.15028099,-14.7066022,-11.58990298,-9.322771337,-11.60638006,-10.03910316,-10.57278552,-12.54873707,-10.02820787,-10.54007148,-10.56335242,-11.29556031
hsa-miR-23b(1),-11.50075225,-9.832394366,-9.539154541,-9.141818944,-8.796145286,-14.98671012,-9.800016381,-10.09869437,-8.430438478,-11.14237404,-7.429211859,-7.291435049,-10.78718819,-8.10229417,-7.232940293,-7.546245393,-10.59769093,-10.10123401,-8.982791805,-7.946800872,-9.112651719,-9.062799249,-7.617912017,-6.753158453,-7.336033207,-7.995633747,-7.224702428,-8.803519455,-8.37552864,-7.553546887,-10.0328372,-7.691192221
hsa-miR-484(1),-13.94971592,-12.49327572,-11.8931269,-13.07326425,-11.57131843,-12.8273053,-11.26177997,-11.89540595,-10.43043798,-11.85458734,-10.49344209,-9.560607687,-10.71135713,-10.50329634,-10.80172147,-11.23722113,-10.97993998,-12.09387757,-11.36733141,-11.72945944,-10.97357854,-13.12169114,-10.86725962,-9.879814472,-11.61418761,-10.34370106,-11.10919213,-11.2896505,-9.936759765,-10.78857319,-10.34095907,-10.15507961
hsa-miR-28-5p(1),-13.94971592,-11.87155362,-11.22767192,-12.8217797,-13.67984948,-13.77776323,-10.81850624,-11.62742719,-10.14093173,-14.7066022,-9.447672197,-10.48992533,-12.331507,-9.895388087,-9.621580712,-10.14025263,-11.81181815,-11.7026537,-11.24062774,-10.01636589,-13.30951675,-10.53673078,-10.41734371,-9.978974365,-12.44100646,-9.843737145,-9.207561283,-10.65292862,-10.34718852,-10.61290375,-11.0328372,-9.544563679
hsa-miR-1301(1),-13.01060839,-12.44747073,-12.32881033,-15.06862132,-12.83281006,-11.43736099,-13.32868416,-11.27218626,-14.01509192,-12.11070672,-10.68096933,-10.81478537,-11.71135472,-10.76597062,-11.27199717,-12.47993708,-12.28574444,-11.27888132,-12.03989421,-12.11439942,-12.35234316,-10.79976561,-12.32488946,-10.88678924,-12.71764782,-11.05223957,-11.47854492,-11.59683495,-10.27539937,-10.90784471,-10.92592157,-11.68031341
hsa-miR-301a(1),-13.36475342,-11.27654596,-13.74570202,-13.42060665,-10.60263788,-15.36475342,-15.01032268,-13.45745706,-15.60244497,-11.84396253,-11.76945422,-11.06806988,-17.0855768,-11.71759924,-11.56952833,-10.61553826,-13.75564483,-12.93449073,-11.72082418,-12.20236251,-11.9933063,-10.53673078,-11.23626719,-9.296339289,-10.98173311,-10.9668465,-11.22114094,-11.42419412,-10.66498346,-10.63129381,-12.41135064,-9.682457488
hsa-miR-216b(1),-29.89735285,-14.44614174,-17.23780286,-15.16603382,-17.99046226,-12.32773455,-16.76806984,-14.77776323,-29.89735285,-20.93445685,-15.44614174,-19.60964047,-18.08758473,-20.14748343,-20.74506801,-19.21787275,-29.89735285,-29.89735285,-19.47739268,-29.89735285,-21.35045839,-29.89735285,-18.93156857,-29.89735285,-29.89735285,-29.89735285,-20.60503122,-29.89735285,-17.96071491,-20.34853095,-29.89735285,-20.07717389
hsa-miR-532-5p(1),-11.46808507,-11.26955538,-12.06630545,-12.17334535,-11.2617906,-15.68364106,-11.98122847,-10.69151189,-12.14093335,-10.68140756,-10.75504383,-10.35165305,-12.80099801,-10.912039,-10.74570202,-10.96401374,-10.08063322,-11.56002277,-10.35619005,-10.97923792,-10.7503517,-10.38472812,-11.02487035,-10.30206441,-10.9585572,-11.06106205,-10.213147,-10.81414104,-10.9903566,-10.18644891,-10.48534957,-11.00277782
hsa-miR-345(1),-14.94971592,-12.42954832,-13.05303939,-13.94971592,-13.51202968,-13.10032467,-13.22449939,-13.12856116,-12.14093335,-12.10752632,-11.80612927,-10.62417875,-13.13219628,-12.19095127,-12.32363911,-11.03055086,-12.5976887,-14.50866283,-13.4509803,-11.3349129,-12.23858351,-11.89930239,-11.14185236,-11.03544812,-12.93026172,-11.13366715,-11.90319833,-11.27002203,-11.12269447,-12.53621438,-10.20971404,-11.61339637
hsa-miR-128(2),-12.89031463,-12.14734598,-12.54216524,-13.08869028,-10.45243504,-11.95736624,-13.05785378,-11.64396238,-11.20804755,-11.71975326,-10.35170395,-10.1397724,-12.76447162,-10.42952047,-10.63195986,-10.13637308,-11.3263891,-11.99757702,-10.91476028,-11.33303959,-10.71222577,-13.7066022,-11.14839679,-10.1090312,-10.57651485,-11.29085004,-9.80298646,-12.41338754,-11.03708727,-10.64619409,-11.14831492,-10.75724705
hsa-miR-429(1),-10.05843979,-8.263340834,-9.429828894,-10.06853766,-7.244642212,-11.32773826,-11.32508563,-9.11661126,-12.60036497,-6.824731837,-8.336982699,-7.738391604,-12.47168618,-8.478061279,-7.606977048,-6.873126244,-7.955826264,-7.651195349,-7.397347406,-9.003944661,-7.562813313,-7.497202271,-7.910743461,-6.846190888,-7.852550537,-7.303554854,-7.240336713,-7.793851808,-7.949973104,-7.156354405,-8.52382335,-7.118820277
